name;advertiser
Assurland Auto;Assurland
Cofidis;Cofidis
Credit Dispo;White Label
We sur Auto;We sur Auto
X trade;X trade
adoucisseur d'eau;adoucisseur d'eau
Ascenseur Maison;White Label
Assurland Assurance RC Pro B2B;Assurland
Commercial Cleaning FR;White Label
Distributeur automatique;White Label
Garantie Decenale;White Label
Mergers & Acquisitions // Fusac;White Label
Prevoyance B2B;White Label
Telecoms providers;White Label
Ticket Restaurant FR;Edenred
Tracking FR;White Label
voiture;White Label
Water Coolers;White Label
website designer;White Label
Ulys;Ulys
volkswagen;volkswagen
Allianz Auto FR;Allianz
Allianz MRH;Allianz
Allianz sante;Allianz
Arts et fenetres;White Label
Comparateur mutuelle;White Label
ikki sante;Ikki
Investiment immobilier;White Label
Isolation;White Label
ITE;ITE
Monte Escalier;White Label
PER;White Label
Radiateur Electrique;White Label
Sodedif santé;Sodedif santé
Chez les seniors obseques;White Label
Prevoyance;Prevoyance
Comme J'aime;Comme J'aime
Credit mini taux;White Label
Mateva;Mateva
Melia Mutuelle;Melia Mutuelle
Agos;Agos
Arquati;Arquati
Attiva Risparmia Enel;Enel
Bagnitaliani;White Label
BNT;BNT
Citroen;Citroen
Climatizzatore;White Label
Dam Service Tim;Tim
Depuragreen;Depuragreen
Fastweb;Fastweb
Febal Casa;Febal Casa
inteligenza artificiale;White Label
Lenergy;Lenergy
Movenzia Panda;Movenzia
Murprotect ES;Murprotect
Murprotect IT;Murprotect
Nielsen;Nielsen
Remail Docce;White Label
Satispay;Satispay
Studium;White Label
Verisure IT;Verisure
Wallstreet english ;Wallstreet english 
Svenson ;Svenson 
Accounting ES;White Label
Commercial Cleaning;White Label
Fuel Card - ES;White Label
Merchant Service;White Label
Tracking ES;White Label
Miatel;Miatel
Sanitas;Sanitas
Endesa;Endesa
Ricoh Print ES;Ricoh
Caixa research CPM;Caixa
Justalia;Justalia
aldeas infantiles;aldeas infantiles
Clinica Baviera;Clinica Baviera
dacia;Dacia
Dacia ;Dacia 
FlexiCar;FlexiCar
Lowi;Lowi
Melia Hotels CPM - ES;Melia Hotels
Movistar Prosegur Alarmas;Movistar Prosegur
Movistar+ CPC;Movistar+
naturgy;naturgy
Northgate Particulares;Northgate
para y compara ;White Label
Repsol Energía y Gas;Repsol
Sanitas Dental;Sanitas
Securitas CPM;Securitas Direct
Securitas Direct ES;Securitas Direct
Tarifalo Solar;Tarifalo Solar
Veci ;Veci
Ariel Caldaie;Ariel Caldaie
Banklider Home;Banklider
Banklider Paneles Solares;Banklider
Badkamerrenoveren;Badkamerrenoveren
Capitall;Capitall
Dakreiniging;Dakreiniging
dakrenovatie;dakrenovatie
Helan Hospitalia;Helan Hospitalia
IBIS BENL;Ibis
Laadpalen;Laadpalen
Nomad;Nomad
Panneaux Solaires;White Label
Warmtepomp;White Label
Zonnepanelen BENL;Zonnepanelen
Adeslas;Adeslas
Adeslas ;Adeslas 
Aquaservice;Aquaservice
Asisa Decesos;Asisa
DKV Decesos;DKV
Iberdrola;Iberdrola
Preventiva;Preventiva
